videoId,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnails,duration,viewCount,likeCount,commentCount,privacyStatus,channelId,channelTitle,channelDescription,channelCountry,channelThumbnail,subscriberCount,videoCount
a9wfMhrciK8,Learn Kazakh With Easy Qazaq: New Channel and Membership Opportunities!,"Subscribe to Easy Qazaq and discover the language, culture, and lifestyle of the Kazakh people. 

SUBSCRIBE TO EASY QAZAQ: www.youtube.com/@easyqazaqvideos
BECOME A MEMBER: https://members.easyqazaq.org/
INSTAGRAM/TIKTOK: @easyqazaqvideos
WEBSITE: http://www.easyqazaq.org/

Easy Languages is an international video project aiming at supporting people worldwide to learn languages through authentic street interviews and expose the street culture of participating partner countries abroad. Episodes are produced in local languages and contain subtitles in both the original language as well as in English.

OUR OTHER CHANNELS:
http://www.youtube.com/easyfrench
http://www.youtube.com/easyspanish
http://www.youtube.com/easygerman
http://www.youtube.com/easyitalian
http://www.youtube.com/easyrussianvideos
http://www.youtube.com/easypolish
http://www.youtube.com/easycatalan
http://www.youtube.com/easyenglishvideos
http://www.youtube.com/easygreek
http://www.youtube.com/easyturkish

Hosts: Nurziya Oralbayeva, Dinara Yerbolekova, Miras Tolegenov, Aida Amir
Camera & Edit: Miras Tolegenov
Subtitles & Transcription: Aslan Bakhtiyarov, Dinara Yerbolekova

#learn #easy #easylanguages 
PremiumBeat Code: TFBFJ8AAPH6R34WP",2025-05-14T14:15:01Z,"['language', 'language school', 'school', 'language lesson', 'lesson', 'teacher', 'learn', 'native', 'native speaker', 'languages', 'street', 'street interview', 'interviews', 'education', 'teachers', 'student', 'free', 'tutorial', 'tutorials', 'language learning', 'easy languages', 'subtitles']",27,en,de,https://i.ytimg.com/vi/a9wfMhrciK8/default.jpg,PT55S,14298,194,48,public,UCqcBu0YyEJH4vfKR--97cng,Easy Languages,"Easy Languages is a global video and podcast project that brings real-world language to life — as it’s spoken in the streets, at home, and among friends.
Our mission is to make language learning fun, authentic, and accessible by showing people speaking naturally in their everyday environments. 🌍✨
We focus on street interviews and spontaneous conversations, all subtitled in both the original language and English — so you can learn with context and confidence.

The Easy Languages network currently includes 16 YouTube channels in French, Spanish, English, German, Italian, Arabic, Portuguese, Polish, Czech, Russian, Greek, Catalan, Dutch, Turkish, and Qazaq:
Check out all our channels below!  👇

While each of these languages has its own dedicated channel, this main channel features content for language lovers in general — including videos on learning strategies, multilingual themes, and emerging languages that don’t yet have their own home.
",DE,https://yt3.ggpht.com/ytc/AIdro_kx83_wwoCXhqWgBw4RuB95RuL1g8DjNxyIf6aYt-yaPqI=s88-c-k-c0x00ffffff-no-rj,1470000,2728
7hIiqfkxhxg,The Best Travel Destinations in India | Easy Hindi 3,"The video was recorded in February 2024 in Hampi, Karnataka, India. The language Kannada is the main language in Karnataka. However, this video was recorded in Hindi, one of the two official languages in India.
In modern spoken Hindi, many English words, sometimes even full sentences in English are used. In the second line of the subtitles, these are written as they would be pronounced in English, and not in a phonetic version of the Hindi letters. 

SUBSCRIBE TO EASY LANGUAGES: http://bit.ly/elsub
BECOME A CO-PRODUCER: https://bit.ly/2kyB9nM

OUR OTHER CHANNELS:
http://www.youtube.com/easyfrench
http://www.youtube.com/easyspanish
http://www.youtube.com/easygerman
http://www.youtube.com/easyitalian
http://www.youtube.com/easyrussianvideos
http://www.youtube.com/easypolish
http://www.youtube.com/easycatalan
http://www.youtube.com/easyenglishvideos
http://www.youtube.com/easygreek
http://www.youtube.com/easyturkish
https://www.youtube.com/@EasyArabicVideos
https://www.youtube.com/@EasyDutch 
https://www.youtube.com/@EasyCzechVideos
https://www.youtube.com/@EasyMandarin 
https://www.youtube.com/@EasyPortugueseVideos 


Easy Languages is an international video project aiming at supporting people worldwide to learn languages through authentic street interviews and expose the street culture of participating partner countries abroad. Episodes are produced in local languages and contain subtitles in both the original language as well as in English.
http://www.easy-languages.org/
http://www.facebook.com/easylanguagesstreetinterviews

Host and camera: Aakanksha Monga and Linus Bohlsen
Edit: Linus 
Subtitles: Shirin Mittai and Linus 

#learn #easy #easylanguages",2024-11-14T18:00:10Z,"['language', 'language school', 'school', 'language lesson', 'lesson', 'teacher', 'learn', 'native', 'native speaker', 'languages', 'street', 'street interview', 'interviews', 'education', 'teachers', 'student', 'free', 'tutorial', 'tutorials', 'language learning', 'easy languages', 'subtitles', 'hindi', 'travel', 'travelling', 'kashmir', 'india', 'easy hindi', 'hampi', 'karnataka']",27,en,de,https://i.ytimg.com/vi/7hIiqfkxhxg/default.jpg,PT10M59S,33277,400,260,public,UCqcBu0YyEJH4vfKR--97cng,Easy Languages,"Easy Languages is a global video and podcast project that brings real-world language to life — as it’s spoken in the streets, at home, and among friends.
Our mission is to make language learning fun, authentic, and accessible by showing people speaking naturally in their everyday environments. 🌍✨
We focus on street interviews and spontaneous conversations, all subtitled in both the original language and English — so you can learn with context and confidence.

The Easy Languages network currently includes 16 YouTube channels in French, Spanish, English, German, Italian, Arabic, Portuguese, Polish, Czech, Russian, Greek, Catalan, Dutch, Turkish, and Qazaq:
Check out all our channels below!  👇

While each of these languages has its own dedicated channel, this main channel features content for language lovers in general — including videos on learning strategies, multilingual themes, and emerging languages that don’t yet have their own home.
",DE,https://yt3.ggpht.com/ytc/AIdro_kx83_wwoCXhqWgBw4RuB95RuL1g8DjNxyIf6aYt-yaPqI=s88-c-k-c0x00ffffff-no-rj,1470000,2728
0yeeu-HqhgM,Tasting Kazakh Food (with @yuji_beleza) | Easy Kazakh (Qazaq) 5,"Subscribe to Easy Qazaq and discover the language, culture, and lifestyle of the Kazakh people. 

SUBSCRIBE TO EASY QAZAQ: www.youtube.com/@easyqazaqvideos
BECOME A MEMBER: https://members.easyqazaq.org/
INSTAGRAM/TIKTOK: @easyqazaqvideos
WEBSITE: http://www.easyqazaq.org/

OUR OTHER CHANNELS:
http://www.youtube.com/easyfrench
http://www.youtube.com/easyspanish
http://www.youtube.com/easygerman
http://www.youtube.com/easyitalian
http://www.youtube.com/easyrussianvideos
http://www.youtube.com/easypolish
http://www.youtube.com/easycatalan
http://www.youtube.com/easyenglishvideos
http://www.youtube.com/easygreek
http://www.youtube.com/easyturkish

Easy Languages is an international video project aiming at supporting people worldwide to learn languages through authentic street interviews and expose the street culture of participating partner countries abroad. Episodes are produced in local languages and contain subtitles in both the original language as well as in English.
http://www.easy-languages.org/
http://www.facebook.com/easylanguagesstreetinterviews

Host of this episode: Nurziya Oralbayeva, Yuji Natsuma
Camera: Miras Tolegenov
Edit: Miras Tolegenov, Dinara Yerbolekova
Translation: Nurziya Oralbayeva, Aida Amir, Dinara Yerbolekova
Music credits: Bozingen by Sugir, Just Kidding by Ahjay Stelino

Follow Easy Kazakh on insta: @easykazakhvideos
Follow Yuji on insta: @yuji_beleza

#learnkazakh #easykazakh #easylanguages",2024-05-31T17:00:02Z,"['language', 'language school', 'school', 'language lesson', 'lesson', 'teacher', 'learn', 'native', 'native speaker', 'languages', 'street', 'street interview', 'interviews', 'education', 'teachers', 'student', 'free', 'tutorial', 'tutorials', 'language learning', 'easy languages', 'subtitles']",27,en,de,https://i.ytimg.com/vi/0yeeu-HqhgM/default.jpg,PT5M37S,26473,393,66,public,UCqcBu0YyEJH4vfKR--97cng,Easy Languages,"Easy Languages is a global video and podcast project that brings real-world language to life — as it’s spoken in the streets, at home, and among friends.
Our mission is to make language learning fun, authentic, and accessible by showing people speaking naturally in their everyday environments. 🌍✨
We focus on street interviews and spontaneous conversations, all subtitled in both the original language and English — so you can learn with context and confidence.

The Easy Languages network currently includes 16 YouTube channels in French, Spanish, English, German, Italian, Arabic, Portuguese, Polish, Czech, Russian, Greek, Catalan, Dutch, Turkish, and Qazaq:
Check out all our channels below!  👇

While each of these languages has its own dedicated channel, this main channel features content for language lovers in general — including videos on learning strategies, multilingual themes, and emerging languages that don’t yet have their own home.
",DE,https://yt3.ggpht.com/ytc/AIdro_kx83_wwoCXhqWgBw4RuB95RuL1g8DjNxyIf6aYt-yaPqI=s88-c-k-c0x00ffffff-no-rj,1470000,2728
g4jSk4NLBok,What Makes You Happy? | Easy Kurdish 14,"SUBSCRIBE TO EASY LANGUAGES: http://bit.ly/elsub
FACEBOOK: http://www.facebook.com/easylanguagesstreetinterviews
BECOME A CO-PRODUCER: https://bit.ly/2kyB9nM

OUR OTHER CHANNELS:
http://www.youtube.com/easyfrench
http://www.youtube.com/easyspanish
http://www.youtube.com/easygerman
http://www.youtube.com/easyitalian
http://www.youtube.com/easyrussianvideos
http://www.youtube.com/easypolish
http://www.youtube.com/easycatalan
http://www.youtube.com/easyenglishvideos
http://www.youtube.com/easygreek
http://www.youtube.com/easyturkish

Easy Languages is an international video project aiming at supporting people worldwide to learn languages through authentic street interviews and expose the street culture of participating partner countries abroad. Episodes are produced in local languages and contain subtitles in both the original language as well as in English.
http://www.easy-languages.org/
http://www.facebook.com/easylanguagesstreetinterviews

Host: Aslan Dik
Camera & Editing: Serhat Kaygısız
Transcript: Emine Değer
Translate: Serhat Kaygısız, Aslan Dik, Gina Olafson

Thanks: Samî Hêzil

#learnkurdish #easykurdish #easylanguages",2024-04-29T17:00:25Z,"['language', 'language school', 'school', 'language lesson', 'lesson', 'teacher', 'learn', 'native', 'native speaker', 'languages', 'street', 'street interview', 'interviews', 'education', 'teachers', 'student', 'free', 'tutorial', 'tutorials', 'language learning', 'easy languages', 'subtitles']",27,tr,de,https://i.ytimg.com/vi/g4jSk4NLBok/default.jpg,PT7M52S,27364,414,58,public,UCqcBu0YyEJH4vfKR--97cng,Easy Languages,"Easy Languages is a global video and podcast project that brings real-world language to life — as it’s spoken in the streets, at home, and among friends.
Our mission is to make language learning fun, authentic, and accessible by showing people speaking naturally in their everyday environments. 🌍✨
We focus on street interviews and spontaneous conversations, all subtitled in both the original language and English — so you can learn with context and confidence.

The Easy Languages network currently includes 16 YouTube channels in French, Spanish, English, German, Italian, Arabic, Portuguese, Polish, Czech, Russian, Greek, Catalan, Dutch, Turkish, and Qazaq:
Check out all our channels below!  👇

While each of these languages has its own dedicated channel, this main channel features content for language lovers in general — including videos on learning strategies, multilingual themes, and emerging languages that don’t yet have their own home.
",DE,https://yt3.ggpht.com/ytc/AIdro_kx83_wwoCXhqWgBw4RuB95RuL1g8DjNxyIf6aYt-yaPqI=s88-c-k-c0x00ffffff-no-rj,1470000,2728
2wx65QIg65Q,Do Welsh People Prefer To Drink Tea or Coffee? | Easy Welsh 10,"SUBSCRIBE TO EASY LANGUAGES: http://bit.ly/elsub
FACEBOOK: http://www.facebook.com/easylanguagesstreetinterviews
BECOME A CO-PRODUCER: https://bit.ly/2kyB9nM

OUR OTHER CHANNELS:
http://www.youtube.com/easyfrench
http://www.youtube.com/easyspanish
http://www.youtube.com/easygerman
http://www.youtube.com/easyitalian
http://www.youtube.com/easyrussianvideos
http://www.youtube.com/easypolish
http://www.youtube.com/easycatalan
http://www.youtube.com/easyenglishvideos
http://www.youtube.com/easygreek
http://www.youtube.com/easyturkish

Easy Languages is an international video project aiming at supporting people worldwide to learn languages through authentic street interviews and expose the street culture of participating partner countries abroad. Episodes are produced in local languages and contain subtitles in both the original language as well as in English.
http://www.easy-languages.org/
http://www.facebook.com/easylanguagesstreetinterviews

Host of this episode: Marian Brosschot
Camera: Ted Cornish
Edit: Ted Cornish
Translation: Marian Brosschot

#learnwelsh #easywelsh #easylanguages",2024-04-26T17:00:02Z,"['language', 'language school', 'school', 'language lesson', 'lesson', 'teacher', 'learn', 'native', 'native speaker', 'languages', 'street', 'street interview', 'interviews', 'education', 'teachers', 'student', 'free', 'tutorial', 'tutorials', 'language learning', 'easy languages', 'subtitles']",27,en,de,https://i.ytimg.com/vi/2wx65QIg65Q/default.jpg,PT9M36S,24851,464,62,public,UCqcBu0YyEJH4vfKR--97cng,Easy Languages,"Easy Languages is a global video and podcast project that brings real-world language to life — as it’s spoken in the streets, at home, and among friends.
Our mission is to make language learning fun, authentic, and accessible by showing people speaking naturally in their everyday environments. 🌍✨
We focus on street interviews and spontaneous conversations, all subtitled in both the original language and English — so you can learn with context and confidence.

The Easy Languages network currently includes 16 YouTube channels in French, Spanish, English, German, Italian, Arabic, Portuguese, Polish, Czech, Russian, Greek, Catalan, Dutch, Turkish, and Qazaq:
Check out all our channels below!  👇

While each of these languages has its own dedicated channel, this main channel features content for language lovers in general — including videos on learning strategies, multilingual themes, and emerging languages that don’t yet have their own home.
",DE,https://yt3.ggpht.com/ytc/AIdro_kx83_wwoCXhqWgBw4RuB95RuL1g8DjNxyIf6aYt-yaPqI=s88-c-k-c0x00ffffff-no-rj,1470000,2728
429MITTWacI,Is Astana Worth Visiting? | Easy Kazakh (Qazaq) 4,"Subscribe to Easy Qazaq and discover the language, culture, and lifestyle of the Kazakh people. 

SUBSCRIBE TO EASY QAZAQ: www.youtube.com/@easyqazaqvideos
BECOME A MEMBER: https://members.easyqazaq.org/
INSTAGRAM/TIKTOK: @easyqazaqvideos
WEBSITE: http://www.easyqazaq.org/

OUR OTHER CHANNELS:
http://www.youtube.com/easyfrench
http://www.youtube.com/easyspanish
http://www.youtube.com/easygerman
http://www.youtube.com/easyitalian
http://www.youtube.com/easyrussianvideos
http://www.youtube.com/easypolish
http://www.youtube.com/easycatalan
http://www.youtube.com/easyenglishvideos
http://www.youtube.com/easygreek
http://www.youtube.com/easyturkish

Easy Languages is an international video project aiming at supporting people worldwide to learn languages through authentic street interviews and expose the street culture of participating partner countries abroad. Episodes are produced in local languages and contain subtitles in both the original language as well as in English.
http://www.easy-languages.org/
http://www.facebook.com/easylanguagesstreetinterviews

Hosts of this episode: Aida Amir and Nurziya Oralbayeva
Camera: Miras Tolegenov
Edit: Miras Tolegenov
Translation: Aida Amir, Nurziya Oralbayeva, Dinara Yerbolekova.
Music credits: Saryarka by Kurmangazy

#learnkazakh  #easykazakh #easylanguages",2024-04-13T21:21:00Z,"['language', 'language school', 'school', 'language lesson', 'lesson', 'teacher', 'learn', 'native', 'native speaker', 'languages', 'street', 'street interview', 'interviews', 'education', 'teachers', 'student', 'free', 'tutorial', 'tutorials', 'language learning', 'easy languages', 'subtitles']",27,en,de,https://i.ytimg.com/vi/429MITTWacI/default.jpg,PT11M21S,17891,368,51,public,UCqcBu0YyEJH4vfKR--97cng,Easy Languages,"Easy Languages is a global video and podcast project that brings real-world language to life — as it’s spoken in the streets, at home, and among friends.
Our mission is to make language learning fun, authentic, and accessible by showing people speaking naturally in their everyday environments. 🌍✨
We focus on street interviews and spontaneous conversations, all subtitled in both the original language and English — so you can learn with context and confidence.

The Easy Languages network currently includes 16 YouTube channels in French, Spanish, English, German, Italian, Arabic, Portuguese, Polish, Czech, Russian, Greek, Catalan, Dutch, Turkish, and Qazaq:
Check out all our channels below!  👇

While each of these languages has its own dedicated channel, this main channel features content for language lovers in general — including videos on learning strategies, multilingual themes, and emerging languages that don’t yet have their own home.
",DE,https://yt3.ggpht.com/ytc/AIdro_kx83_wwoCXhqWgBw4RuB95RuL1g8DjNxyIf6aYt-yaPqI=s88-c-k-c0x00ffffff-no-rj,1470000,2728
CPzFpmRCZ0c,What Can You Buy for 1000 Tenge? | Easy Kazakh (Qazaq) 3,"Subscribe to Easy Qazaq and discover the language, culture, and lifestyle of the Kazakh people. 

SUBSCRIBE TO EASY QAZAQ: www.youtube.com/@easyqazaqvideos
BECOME A MEMBER: https://members.easyqazaq.org/
INSTAGRAM/TIKTOK: @easyqazaqvideos
WEBSITE: http://www.easyqazaq.org/

OUR OTHER CHANNELS:
http://www.youtube.com/easyfrench
http://www.youtube.com/easyspanish
http://www.youtube.com/easygerman
http://www.youtube.com/easyitalian
http://www.youtube.com/easyrussianvideos
http://www.youtube.com/easypolish
http://www.youtube.com/easycatalan
http://www.youtube.com/easyenglishvideos
http://www.youtube.com/easygreek
http://www.youtube.com/easyturkish

Easy Languages is an international video project aiming at supporting people worldwide to learn languages through authentic street interviews and expose the street culture of participating partner countries abroad. Episodes are produced in local languages and contain subtitles in both the original language as well as in English.
http://www.easy-languages.org/
http://www.facebook.com/easylanguagesstreetinterviews

Hosts of this episode: Aida Amir and Nurziya Oralbayeva
Camera: Miras Tolegenov
Edit: Miras Tolegenov
Translation: Aida Amir and Nurziya Oralbayeva

Music credits: Sylkyldak by Tattimbet Kazangapuly, Kos alka by Dauletkerey




#learnkazakh #easykazakh #easylanguages",2024-03-08T18:00:06Z,"['language', 'language school', 'school', 'language lesson', 'lesson', 'teacher', 'learn', 'native', 'native speaker', 'languages', 'street', 'street interview', 'interviews', 'education', 'teachers', 'student', 'free', 'tutorial', 'tutorials', 'language learning', 'easy languages', 'subtitles', 'easy kazakh', 'learn qazaq', 'kazakh currency', 'kazakhstan', 'prices in kazakhstan']",27,en,de,https://i.ytimg.com/vi/CPzFpmRCZ0c/default.jpg,PT8M38S,12050,258,35,public,UCqcBu0YyEJH4vfKR--97cng,Easy Languages,"Easy Languages is a global video and podcast project that brings real-world language to life — as it’s spoken in the streets, at home, and among friends.
Our mission is to make language learning fun, authentic, and accessible by showing people speaking naturally in their everyday environments. 🌍✨
We focus on street interviews and spontaneous conversations, all subtitled in both the original language and English — so you can learn with context and confidence.

The Easy Languages network currently includes 16 YouTube channels in French, Spanish, English, German, Italian, Arabic, Portuguese, Polish, Czech, Russian, Greek, Catalan, Dutch, Turkish, and Qazaq:
Check out all our channels below!  👇

While each of these languages has its own dedicated channel, this main channel features content for language lovers in general — including videos on learning strategies, multilingual themes, and emerging languages that don’t yet have their own home.
",DE,https://yt3.ggpht.com/ytc/AIdro_kx83_wwoCXhqWgBw4RuB95RuL1g8DjNxyIf6aYt-yaPqI=s88-c-k-c0x00ffffff-no-rj,1470000,2728
ptK28nAygdI,How Would You Describe Yourself? | Easy Kurdish 13,"SUBSCRIBE TO EASY LANGUAGES: http://bit.ly/elsub
FACEBOOK: http://www.facebook.com/easylanguagesstreetinterviews
BECOME A CO-PRODUCER: https://bit.ly/2kyB9nM

OUR OTHER CHANNELS:
http://www.youtube.com/easyfrench
http://www.youtube.com/easyspanish
http://www.youtube.com/easygerman
http://www.youtube.com/easyitalian
http://www.youtube.com/easyrussianvideos
http://www.youtube.com/easypolish
http://www.youtube.com/easycatalan
http://www.youtube.com/easyenglishvideos
http://www.youtube.com/easygreek
http://www.youtube.com/easyturkish

Easy Languages is an international video project aiming at supporting people worldwide to learn languages through authentic street interviews and expose the street culture of participating partner countries abroad. Episodes are produced in local languages and contain subtitles in both the original language as well as in English.
http://www.easy-languages.org/
http://www.facebook.com/easylanguagesstreetinterviews

Host & Camera: Serhat Kaygısız
Editing: Serhat Kaygısız
Transkript: Fatma Şahin, Serhat Kaygısız
Translate: Serhat Kaygısız, Aslan Dik, Yonca Sarsılmaz

Thanks: PezkovîArt

#learnkurdish #easykurdish #easylanguages",2024-01-29T18:00:35Z,"['language', 'language school', 'school', 'language lesson', 'lesson', 'teacher', 'learn', 'native', 'native speaker', 'languages', 'street', 'street interview', 'interviews', 'education', 'teachers', 'student', 'free', 'tutorial', 'tutorials', 'language learning', 'easy languages', 'subtitles']",27,en,de,https://i.ytimg.com/vi/ptK28nAygdI/default.jpg,PT11M50S,16662,326,43,public,UCqcBu0YyEJH4vfKR--97cng,Easy Languages,"Easy Languages is a global video and podcast project that brings real-world language to life — as it’s spoken in the streets, at home, and among friends.
Our mission is to make language learning fun, authentic, and accessible by showing people speaking naturally in their everyday environments. 🌍✨
We focus on street interviews and spontaneous conversations, all subtitled in both the original language and English — so you can learn with context and confidence.

The Easy Languages network currently includes 16 YouTube channels in French, Spanish, English, German, Italian, Arabic, Portuguese, Polish, Czech, Russian, Greek, Catalan, Dutch, Turkish, and Qazaq:
Check out all our channels below!  👇

While each of these languages has its own dedicated channel, this main channel features content for language lovers in general — including videos on learning strategies, multilingual themes, and emerging languages that don’t yet have their own home.
",DE,https://yt3.ggpht.com/ytc/AIdro_kx83_wwoCXhqWgBw4RuB95RuL1g8DjNxyIf6aYt-yaPqI=s88-c-k-c0x00ffffff-no-rj,1470000,2728
Wm2oVphZxn8,How New Year's is Celebrated in the Sakha Republic | Easy Sakha 3,"SUBSCRIBE TO EASY LANGUAGES: http://bit.ly/elsub
FACEBOOK: 
BECOME A CO-PRODUCER: https://bit.ly/2kyB9nM

OUR OTHER CHANNELS:
http://www.youtube.com/easyfrench
http://www.youtube.com/easyspanish
http://www.youtube.com/easygerman
http://www.youtube.com/easyitalian
http://www.youtube.com/easyrussianvideos
http://www.youtube.com/easypolish
http://www.youtube.com/easycatalan
http://www.youtube.com/easyenglishvideos
http://www.youtube.com/easygreek
http://www.youtube.com/easyturkish

Easy Languages is an international video project aiming at supporting people worldwide to learn languages through authentic street interviews and expose the street culture of participating partner countries abroad. Episodes are produced in local languages and contain subtitles in both the original language as well as in English.
http://www.easy-languages.org/
http://www.facebook.com/easylanguagesstreetinterviews

Host of this episode: Tatiana Olesova
Camera: Olga Yakovleva
Edit: Tatiana Olesova
Translation: Tatiana Olesova

#learn #easy #easylanguages",2023-12-28T18:00:14Z,"['language', 'language school', 'school', 'language lesson', 'lesson', 'teacher', 'learn', 'native', 'native speaker', 'languages', 'street', 'street interview', 'interviews', 'education', 'teachers', 'student', 'free', 'tutorial', 'tutorials', 'language learning', 'easy languages', 'subtitles']",27,en,de,https://i.ytimg.com/vi/Wm2oVphZxn8/default.jpg,PT6M59S,15238,337,43,public,UCqcBu0YyEJH4vfKR--97cng,Easy Languages,"Easy Languages is a global video and podcast project that brings real-world language to life — as it’s spoken in the streets, at home, and among friends.
Our mission is to make language learning fun, authentic, and accessible by showing people speaking naturally in their everyday environments. 🌍✨
We focus on street interviews and spontaneous conversations, all subtitled in both the original language and English — so you can learn with context and confidence.

The Easy Languages network currently includes 16 YouTube channels in French, Spanish, English, German, Italian, Arabic, Portuguese, Polish, Czech, Russian, Greek, Catalan, Dutch, Turkish, and Qazaq:
Check out all our channels below!  👇

While each of these languages has its own dedicated channel, this main channel features content for language lovers in general — including videos on learning strategies, multilingual themes, and emerging languages that don’t yet have their own home.
",DE,https://yt3.ggpht.com/ytc/AIdro_kx83_wwoCXhqWgBw4RuB95RuL1g8DjNxyIf6aYt-yaPqI=s88-c-k-c0x00ffffff-no-rj,1470000,2728
PVs5jiIH8dY,What's Not To Like About Shymkent? | Easy Kazakh (Qazaq) 2,"Subscribe to Easy Qazaq and discover the language, culture, and lifestyle of the Kazakh people. 

SUBSCRIBE TO EASY QAZAQ: www.youtube.com/@easyqazaqvideos
BECOME A MEMBER: https://members.easyqazaq.org/
INSTAGRAM/TIKTOK: @easyqazaqvideos
WEBSITE: http://www.easyqazaq.org/

OUR OTHER CHANNELS:
http://www.youtube.com/easyfrench
http://www.youtube.com/easyspanish
http://www.youtube.com/easygerman
http://www.youtube.com/easyitalian
http://www.youtube.com/easyrussianvideos
http://www.youtube.com/easypolish
http://www.youtube.com/easycatalan
http://www.youtube.com/easyenglishvideos
http://www.youtube.com/easygreek
http://www.youtube.com/easyturkish

Easy Languages is an international video project aiming at supporting people worldwide to learn languages through authentic street interviews and expose the street culture of participating partner countries abroad. Episodes are produced in local languages and contain subtitles in both the original language as well as in English.
http://www.easy-languages.org/
http://www.facebook.com/easylanguagesstreetinterviews

Hosts of this episode: Aida Amir and Nurziya Oralbayeva
Camera: Miras Tolegenov
Edit: Miras Tolegenov
Translation: Aida Amir and Nurziya Oralbayeva

Music credits: Korogly by Asylbek Akhatov feat. Edil Basygaraev

*The Russian words in the episode are marked with an asterisk. The timestamped Kazakh equivalents are shown below:
3.42 , 3:54, 4:02, 6:04, 8:20 и (and) - және;
8:15, 8:23 пробка (traffic) - кептеліс;
8:26 мусор (rubbish) - қоқыс.

#learnkazakh #easykazakh #easylanguages",2023-11-28T18:00:13Z,"['language', 'language school', 'school', 'language lesson', 'lesson', 'teacher', 'learn', 'native', 'native speaker', 'languages', 'street', 'street interview', 'interviews', 'education', 'teachers', 'student', 'free', 'tutorial', 'tutorials', 'language learning', 'easy languages', 'subtitles']",27,en,de,https://i.ytimg.com/vi/PVs5jiIH8dY/default.jpg,PT9M21S,12236,316,43,public,UCqcBu0YyEJH4vfKR--97cng,Easy Languages,"Easy Languages is a global video and podcast project that brings real-world language to life — as it’s spoken in the streets, at home, and among friends.
Our mission is to make language learning fun, authentic, and accessible by showing people speaking naturally in their everyday environments. 🌍✨
We focus on street interviews and spontaneous conversations, all subtitled in both the original language and English — so you can learn with context and confidence.

The Easy Languages network currently includes 16 YouTube channels in French, Spanish, English, German, Italian, Arabic, Portuguese, Polish, Czech, Russian, Greek, Catalan, Dutch, Turkish, and Qazaq:
Check out all our channels below!  👇

While each of these languages has its own dedicated channel, this main channel features content for language lovers in general — including videos on learning strategies, multilingual themes, and emerging languages that don’t yet have their own home.
",DE,https://yt3.ggpht.com/ytc/AIdro_kx83_wwoCXhqWgBw4RuB95RuL1g8DjNxyIf6aYt-yaPqI=s88-c-k-c0x00ffffff-no-rj,1470000,2728
