id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
8XwoR5rzseI,Have you ever wondered about this in python?,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim",2025-09-21T16:11:38Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/8XwoR5rzseI/default.jpg,https://i.ytimg.com/vi/8XwoR5rzseI/hqdefault.jpg,PT49S,24681,638,4,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s88-c-k-c0x00ffffff-no-rj,1860000,1641
uu1UY9oRAKk,The BEST ways to make money from coding.,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim",2025-09-20T13:18:29Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/uu1UY9oRAKk/default.jpg,https://i.ytimg.com/vi/uu1UY9oRAKk/hqdefault.jpg,PT47S,7115,261,8,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s88-c-k-c0x00ffffff-no-rj,1860000,1641
APLbIeLU9QY,Did you know about this Python function?,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim",2025-09-19T19:40:06Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/APLbIeLU9QY/default.jpg,https://i.ytimg.com/vi/APLbIeLU9QY/hqdefault.jpg,PT1M3S,22867,678,10,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s88-c-k-c0x00ffffff-no-rj,1860000,1641
S6OZ3r5LqJc,Check the description for my full blueprint on how to land a high paying developer job.,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim

🎞 Video Resources 🎞

⏳ Timestamps ⏳

Hashtags",2025-09-18T17:55:25Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/S6OZ3r5LqJc/default.jpg,https://i.ytimg.com/vi/S6OZ3r5LqJc/hqdefault.jpg,PT36S,12365,512,8,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s88-c-k-c0x00ffffff-no-rj,1860000,1641
YESrXVkcCHY,The Best AI Coding Tools for Developers in 2025 (That I Actually Use),"🚀 Try Flow Pro free for 14 days + get an extra month free with my code TECHWITHTIM!
👉 Start here: https://ref.wisprflow.ai/techwithtim

I have gone over a lot of AI tools on this channel. I've made probably 30 plus videos at this point covering those various tools. I want to talk to you about which ones I actually use on a day by day basis as a developer, what tools are open on my computer and are getting the most use.

DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim?video=YESrXVkcCHY

⏳ Timestamps ⏳
00:00 | Overview
00:25 | Cursor/Windsurf 
01:52 | ChatGPT
03:24 | Flow
05:40 | DeepAgent
07:09 | Warp.dev
08:41 | Lovable
10:07 | TLDV
11:20 | Blitzy
12:57 | Zapier
13:53 | Python Frameworks

Hashtags
#AITools #AIAgents #SoftwareEngineer",2025-09-18T13:30:42Z,tech with tim|AI Tools|AI Agents|Cursor AI|Windsurf|ChatGPT|Wispr|Wispr Flow|DeepAgent|Warp AI|Lovable AI|TLDV|Blitzy AI|Zapier|LangChain|LangGraph|Vapi|Livekit|Deepgram|developer tools|ai productivity|ai for developers|ai automation|developer productivity|ai coding tools|ai software review|ai workflow|programming tools|ai integration|ai development|tech tools for developers|ai tool recommendations,27,en,en-CA,https://i.ytimg.com/vi/YESrXVkcCHY/default.jpg,https://i.ytimg.com/vi/YESrXVkcCHY/hqdefault.jpg,PT15M12S,23948,918,45,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s88-c-k-c0x00ffffff-no-rj,1860000,1641
7V7cf24aNTM,Is this the wildest way to make money as a dev?😳,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim",2025-09-17T19:34:11Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/7V7cf24aNTM/default.jpg,https://i.ytimg.com/vi/7V7cf24aNTM/hqdefault.jpg,PT40S,19188,477,5,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s88-c-k-c0x00ffffff-no-rj,1860000,1641
DlKR3zSwUv8,The truth about AI engineering.,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim",2025-09-16T15:31:39Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/DlKR3zSwUv8/default.jpg,https://i.ytimg.com/vi/DlKR3zSwUv8/hqdefault.jpg,PT40S,14409,452,11,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s88-c-k-c0x00ffffff-no-rj,1860000,1641
d_LbQwoWI7I,AI Engineering: A Realistic Roadmap for Beginners,"Learn all the skills you need to succeed as an AI engineer in one place:
DataCamp's AI engineer for developers track - https://datacamp.pxf.io/YRxELR
AI Engineer for Developers Associate Certification - https://datacamp.pxf.io/mOB9NX
Get 25% off your DataCamp subscription - https://datacamp.pxf.io/LKGAgZ

If you want to break into AI engineering this video is for you. I break down all of the important skills you need to learn as an aspiring AI developer in a digestible, easy to follow format.

DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim?video=d_LbQwoWI7I

⏳ Timestamps ⏳
00:00 | Overview
00:24 | What is AI Engineering?
02:05 | Core Foundation
04:13 | Basic AI Tools
05:33 | Learning this Practically
07:32 | AI Frameworks
09:47 | AI Projects to Build
11:02 | Advanced LLM Skills
13:44 | LLM Ops

Hashtags
#AIEngineer #AIAgents #DataCamp",2025-09-16T13:01:23Z,tech with tim|AI Engineer|AI Roadmap|roadmap|software systems|LangGraph|LangChain|fine tuning|LLM|API|ai prompts|software engineer|machine learning|python|pycharm|loops|variables|functions|python decorators|python generators|meta classes|python modules|git|github|IDE|Cursor|VSCode|virtual environments|jupyter notebook|Gemini|GPT 5|Claude|DeepSeek|Ollama|Docker|DataCamp|AI Agents|HuggingFace|Numpy|Pandas|RAG|MCP Server|Kubernetes|FastAPI,27,en,en-CA,https://i.ytimg.com/vi/d_LbQwoWI7I/default.jpg,https://i.ytimg.com/vi/d_LbQwoWI7I/hqdefault.jpg,PT15M53S,26803,1247,63,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s88-c-k-c0x00ffffff-no-rj,1860000,1641
wEZD-aSsmhk,Want to go from beginner to pro? Master these frameworks.,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim",2025-09-15T18:09:51Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/wEZD-aSsmhk/default.jpg,https://i.ytimg.com/vi/wEZD-aSsmhk/hqdefault.jpg,PT38S,23461,682,7,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s88-c-k-c0x00ffffff-no-rj,1860000,1641
T_k3v9gU3jg,The importance of understanding LLMs.,"DevLaunch is my mentorship program where I personally help developers go beyond tutorials, build real-world projects, and actually land jobs. No fluff. Just real accountability, proven strategies, and hands-on guidance. Learn more here - https://training.devlaunch.us/tim",2025-09-14T15:44:04Z,tech with tim,27,en,en-CA,https://i.ytimg.com/vi/T_k3v9gU3jg/default.jpg,https://i.ytimg.com/vi/T_k3v9gU3jg/hqdefault.jpg,PT56S,20229,992,7,public,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands of aspiring developers land their first software engineering role and assisted mid-level devs land jobs at companies like google.

Max landed his first developer job 3 weeks after going through my training.
Youssef was laid off and landed a new role in 2 months while working with me.
Jamario landing competing job offers before graduating college.

If you want to learn more you can click the first link and watch my free training on how we help developers who already know how to code get hired by top tech companies.
",CA,https://yt3.ggpht.com/ytc/AIdro_k15oXl74WcnpdL-uVBv6IHBgAfXEEnpUiS-IoEyV1auyY=s88-c-k-c0x00ffffff-no-rj,1860000,1641
